AAREAL BANK AG	AARBESM1XXX
BANQUE COURTOIS	COURESB1XXX
BANQUE INTERNATIONALE A LUXEMBOURG	BILLESB1XXX
BANQUE MAROCAINE COMMERCE EXTERIEUR INTERNAT.,S.A.	BMCEESMMXXX
BANQUE PRIVEE EDMOND DE ROTHSCHILD EUROPE, S.E	PRIBESMXXXX
BANQUE PSA FINANCE, S.E.	PSABESM1XXX
BANQUE REGIONALE D’ESCOMPTE ET DE DEPOTS	REDEESM1XXX
BANQUE SCANDINAVE EN SUISSE	SCSIESM1XXX
BANQUE SCS ALLIANCE	BSSAESB1XXX
BANQUE SUDAMERIS	BSUDESM1XXX
BARCLAYS BANK PLC, S.E.	BPLCESMMXXX
BARCLAYS BANK, S.A.	BARCESMMXXX
BAYERISCHE HYPO- UND VEREINSBANK AG.	HYVEESM1XXX
BBVA BANCO DE FINANCIACION, S.A.	INALESM1XXX
BES INVESTIMENTO SA	BEIVESM1XXX
BILBAO BIZKAIA KUTXA,AURREZKI KUTXA ETA BAHITETXEA	BASKES2BXXX
BNP PARIBAS ESPAÑA, S.A.	BNPAESMMXXX
BNP PARIBAS SECURITIES SERVICES, S.E.	PARBESMXXXX
BNP PARIBAS, S.E.	BNPAESMSXXX
C.A.M.P. CIRCULO CATOLICO DE OBREROS DE BURGOS	CECAESMM017
CAISSE NATIONALE DE CREDIT AGRICOLE, SUC. ESPAÑA	AGRIESMM
CAISSE REGIONALE CREDIT AGRICOLE MUTUEL SUD MED,SE	CRCGESB1XXX
CAIXA AFORROS VIGO,OURENSE E PONTEVEDRA(CAIXANOVA)	CAVIES2VXXX
CAIXA DE C. DELS ENGINYERS-C.C. INGENIEROS, S.C.C	CDENESBBXXX
CAIXA DELS ADVOCATS-CAJA DE LOS ABOGADOS, S.C.C.	CXAVESB1XXX
CAIXA D’ESTALVIS COMARCAL DE MANLLEU	CECAESMM040
CAIXA D’ESTALVIS DE CATALUNYA	CESCESBBXXX
CAIXA D’ESTALVIS DE GIRONA	CECAESMM030
CAIXA D’ESTALVIS DE MANRESA	CECAESMM041
CAIXA D’ESTALVIS DE SABADELL	CECAESMM059
CAIXA D’ESTALVIS DE TARRAGONA	CECAESMM073
CAIXA D’ESTALVIS DE TERRASSA	CECAESMM074
CAIXA D’ESTALVIS DEL PENEDES	CECAESMM081
CAIXA D’ESTALVIS LAIETANA	CECAESMM042
CAIXA POPULAR-CAIXA RURAL, S.C.C.V.	BCOEESMM159
CAIXA R. ALBALAT DELS SORELLS, C.C.V.	BCOEESMM186
CAIXA R. ALTEA, C.C.V.	BCOEESMM045
CAIXA R. BENICARLO, S.C.C.V.	BCOEESMM162
CAIXA R. D’ALGEMESI, S.C.V.C.	BCOEESMM117
CAIXA R. DE BALEARS, S.C.C.	BCOEESMM147
CAIXA R. DE CALLOSA D’EN SARRIA, C.C.V.	BCOEESMM105
CAIXA R. DE L’ALCUDIA, S.C.V.C.	BCOEESMM096
CAIXA R. DE TURIS, C.C.V.	BCOEESMM123
CAIXA R. GALEGA, S.C.C.L.G.	BCOEESMM070
CAIXA R. LA VALL ‘S. ISIDRO’, S.C.C.V.	BCOEESMM111
CAIXA R. S. VICENT FERRER DE LA VALL D’UIXO,C.C.V.	BCOEESMM102
CAIXA R. VINAROS, S.C.C.V.	BCOEESMM174
CAIXA R.S.JOSEP DE VILAVELLA, S.C.C.V.	BCOEESMM160
CAIXA RURAL LES COVES DE VINROMA, S.C.C.V.	BCOEESMM166
CAIXA RURAL TORRENT C.C.V.	BCOEESMM118
CAIXABANK, S.A.	CBANESBBXXX
CAJA AH. VALENCIA, CASTELLON Y ALICANTE, BANCAJA	CVALESVVXXX
CAJA CAMINOS, S.C.C.	CCOCESMMXXX
CAJA CAMPO, CAJA RURAL, S.C.C.	BCOEESMM094
