COD_BE,NOMBRE50,BIC,DESC_VARIACION
6852,"BMCE EUROSERVICES, S.A.",BMEUESM1XXX,
1168,BANCO NACIONAL DE CUBA,BNACESM1XXX,
0107,"BANCA NAZIONALE DEL LAVORO, S.P.A., S.E.",BNLIESM1XXX,
0058,"BNP PARIBAS ESPAÑA, S.A.",BNPAESMMXXX,
0149,"BNP PARIBAS, S.E.",BNPAESMSXXX,
1231,"BANCO CANARIAS DE VENEZUELA, CA",BOCAES21XXX,
1485,"BANK OF AMERICA, NATIONAL ASSOCIATION, S.E.",BOFAES2XXXX,
0160,"THE BANK OF TOKYO-MITSUBISHI UFJ, LTD, S.E.",BOTKESMXXXX,
1470,"BANCO PORTUGUES DE INVESTIMENTO, S.A. S.E.",BPIPESM1XXX,
0152,"BARCLAYS BANK PLC, S.E.",BPLCESMMXXX,
0155,"BANCO DO BRASIL, S.A., S.E.",BRASESMMXXX,
0081,"BANCO DE SABADELL, S.A.",BSABESBBXXX,
0049,"BANCO SANTANDER, S.A.",BSCHESMMXXX,
1227,BANQUE SCS ALLIANCE,BSSAESB1XXX,
1113,BANQUE SUDAMERIS,BSUDESM1XXX,
0154,"CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,S.E.",BSUIESMMXXX,
0057,"BANCO DEPOSITARIO BBVA, S.A.",BVADESMMXXX,
0094,"RBC INVESTOR SERVICES ESPAÑA, S.A.",BVALESMMXXX,
2080,"NCG BANCO, S.A.",CAGLESMMVIG,
2038,"BANKIA, S.A.",CAHMESMMXXX,
2100,"CAIXABANK, S.A.",CAIXESBBXXX,
3183,CAJA DE ARQUITECTOS S.C.C.,CASDESBBXXX,
2085,"IBERCAJA BANCO, S.A.",CAZRES2ZXXX,
3146,"CAJA DE CREDITO COOPERATIVO, S.C.C.",CCCVESM1XXX,
0234,"BANCO CAMINOS, S.A.",CCOCESMMXXX,
3172,"CAJA CAMINOS, S.C.C.",CCOCESMMXXX,
3029,"CAJA DE CREDITO DE PETREL, CAJA RURAL, C.C.V.",CCRIES2A029,
3045,"CAIXA R. ALTEA, C.C.V.",CCRIES2A045,
3095,CAJA R. S. ROQUE DE ALMENARA S.C.C.V.,CCRIES2A095,
3105,"CAIXA R. DE CALLOSA D'EN SARRIA, C.C.V.",CCRIES2A105,
3112,"CAJA R. S. JOSE DE BURRIANA, S.C.C.V.",CCRIES2A112,
3118,CAIXA RURAL TORRENT C.C.V.,CCRIES2A118,
3119,CAJA R. S. JAIME ALQUERIAS NIÑO PERDIDO S.C.C.V.,CCRIES2A119,
3121,"CAJA R. DE CHESTE, S.C.C.",CCRIES2A121,
3123,"CAIXA R. DE TURIS, C.C.V.",CCRIES2A123,
3135,CAJA R. S. JOSE DE NULES S.C.C.V.,CCRIES2A135,
3137,CAJA R. DE CASINOS S.C.C.V.,CCRIES2A137,
3152,CAJA R. DE VILLAR C.C.V.,CCRIES2A152,
3157,"CAJA R. LA JUNQUERA DE CHILCHES, S.C.C.V.",CCRIES2A157,
3160,"CAIXA R.S.JOSEP DE VILAVELLA, S.C.C.V.",CCRIES2A160,
3165,"CAJA R. S. ISIDRO DE VILAFAMES, S.C.C.V.",CCRIES2A165,
3179,"CAJA R. DE ALGINET, S.C.C.V.",CCRIES2A179,
3186,"CAIXA R. ALBALAT DELS SORELLS, C.C.V.",CCRIES2A186,
3188,"CREDIT VALENCIA, C.R.C.C.V.",CCRIES2A188,
3058,"CAJAS RURALES UNIDAS, S. COOP. DE CREDITO",CCRIES2AXXX,
1475,"CORTAL CONSORS, S.E.",CCSEESM1XXX,
3025,"CAIXA DE C. DELS ENGINYERS-C.C. INGENIEROS, S.C.C",CDENESBBXXX,
2010,M.P. Y CAJA GENERAL AHORROS DE BADAJOZ,CECAESMM010,
2017,C.A.M.P. CIRCULO CATOLICO DE OBREROS DE BURGOS,CECAESMM017,
2018,CAJA DE AHORROS MUNICIPAL DE BURGOS,CECAESMM018,
2031,CAJA GENERAL DE AHORROS DE GRANADA,CECAESMM031,
2043,CAJA DE AHORROS DE MURCIA,CECAESMM043,
2045,CAJA DE AHORROS Y M.P. DE ONTINYENT,CECAESMM045,
2048,"LIBERBANK, S.A.",CECAESMM048,
2051,CAJA DE AHORROS Y M.P. DE LAS BALEARES,CECAESMM051,
2052,CAJA INSULAR DE AHORROS DE CANARIAS,CECAESMM052,
2056,COLONYA - CAIXA D'ESTALVIS DE POLLENSA,CECAESMM056,
2066,CAJA DE AHORROS DE SANTANDER Y CANTABRIA,CECAESMM066,
2081,CAIXA D'ESTALVIS DEL PENEDES,CECAESMM081,
2086,"BANCO GRUPO CAJATRES, S.A.",CECAESMM086,
2099,CAJA DE AHORROS Y M.P. DE EXTREMADURA,CECAESMM099,
2105,CAJA DE AHORROS DE CASTILLA-LA MANCHA,CECAESMM105,
2000,"CECABANK, S.A.",CECAESMMXXX,
2013,"CATALUNYA BANC, S.A.",CESCESBBXXX,
0130,"BANCO CAIXA GERAL, S.A.",CGDIESMMXXX,
